simulation_year,scenario_label,ntp_seconds_counter,unix_signed_counter,unix_64bit_counter,ntp_era,interpreted_ntp_year,interpreted_unix_year,interpreted_unix_year_64bit,overflow_event_flag,ntp_overflow_occurred,unix_overflow_occurred,time_error_ntp_seconds,time_error_unix_seconds,legacy_device_fraction_affected,patch_rate_per_year,initial_legacy_fraction,true_seconds_since_ntp_epoch,true_seconds_since_unix_epoch
2046.505133,ntp_era_aware_systems,328383103.9998226,-1880648897.0,2414318399.0,1.0,1910.4058326361899,1910.4058326045074,2046.5051334385378,1,1,1,4294967295.0,4294967295.0,0.12982765934521642,0.05,0.4,4623350399.999823,2414318399.999822
2046.587269,ntp_era_aware_systems,330975103.99982166,-1878056897.0,2416910399.0,1.0,1910.4879681598038,1910.4879681281213,2046.5872689621517,1,1,1,4294967295.0,4294967295.0,0.1292955795204179,0.05,0.4,4625942399.999822,2416910399.9998217
2046.669405,ntp_era_aware_systems,333567103.9998207,-1875464897.0,2419502399.0,1.0,1910.5701036834178,1910.5701036517353,2046.6694044857657,1,1,1,4294967295.0,4294967295.0,0.12876568034758049,0.05,0.4,4628534399.999821,2419502399.999821
2046.75154,ntp_era_aware_systems,336159103.9998207,-1872872897.0,2422094399.0,1.0,1910.6522392070317,1910.6522391753492,2046.7515400093796,1,1,1,4294967295.0,4294967295.0,0.12823795288961853,0.05,0.4,4631126399.999821,2422094399.99982
2046.833676,ntp_era_aware_systems,338751103.99981976,-1870280897.0,2424686399.0,1.0,1910.7343747306456,1910.7343746989632,2046.8336755329935,1,1,1,4294967295.0,4294967295.0,0.12771238824607367,0.05,0.4,4633718399.99982,2424686399.9998198
2046.915811,ntp_era_aware_systems,341343103.9998188,-1867688897.0,2427278399.0,1.0,1910.8165102542596,1910.816510222577,2046.9158110566077,1,1,1,4294967295.0,4294967295.0,0.12718897755296488,0.05,0.4,4636310399.999819,2427278399.9998193
2046.997947,ntp_era_aware_systems,343935103.9998188,-1865096897.0,2429870399.0,1.0,1910.8986457778735,1910.898645746191,2046.9979465802217,1,1,1,4294967295.0,4294967295.0,0.12666771198263882,0.05,0.4,4638902399.999819,2429870399.9998183
2047.080082,ntp_era_aware_systems,346527103.99981785,-1862504897.0,2432462399.0,1.0,1910.9807813014875,1910.980781269805,2047.0800821038356,1,1,1,4294967295.0,4294967295.0,0.12614858274362092,0.05,0.4,4641494399.999818,2432462399.999818
2047.162218,ntp_era_aware_systems,349119103.9998169,-1859912897.0,2435054399.0,1.0,1911.0629168251014,1911.062916793419,2047.1622176274495,1,1,1,4294967295.0,4294967295.0,0.12563158108046743,0.05,0.4,4644086399.999817,2435054399.9998174
2047.244353,ntp_era_aware_systems,351711103.9998169,-1857320897.0,2437646399.0,1.0,1911.1450523487154,1911.1450523170329,2047.2443531510635,1,1,1,4294967295.0,4294967295.0,0.12511669827361724,0.05,0.4,4646678399.999817,2437646399.9998164
2047.326489,ntp_era_aware_systems,354303103.99981594,-1854728897.0,2440238399.0,1.0,1911.2271878723293,1911.227187840647,2047.3264886746774,1,1,1,4294967295.0,4294967295.0,0.12460392563924522,0.05,0.4,4649270399.999816,2440238399.999816
